GPU Memory Track | 06-Jun-22-15:40:23 | Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb


At JTVAE/fast_molvae/jtnnvae_train.py line 76: <module> Total Tensor Used Memory:0.0    Mb Total Allocated Memory:0.0    Mb

+ | 1 * Size:(450, 40)            | Memory: 0.0686 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(793, 1)             | Memory: 0.0030 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(793, 932)           | Memory: 112.77 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(793, 3)             | Memory: 0.0181 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1712,)              | Memory: 0.0130 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(428, 932)           | Memory: 1.5216 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(793, 450)           | Memory: 108.90 M | <class 'torch.Tensor'> | torch.float32
+ | 20 * Size:(2379, 450)          | Memory: 81.676 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(793, 3, 450)        | Memory: 159.26 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(428, 450)           | Memory: 0.7347 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(428,)               | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(793,)               | Memory: 0.0121 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:558.5  Mb Total Allocated Memory:497.4  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:558.5  Mb Total Allocated Memory:497.4  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(9318,)              | Memory: 0.1421 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4308,)              | Memory: 0.0328 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(1553, 450)          | Memory: 5.3318 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1553, 6)            | Memory: 0.0710 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1553, 82)           | Memory: 0.4857 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(718, 6)             | Memory: 0.0328 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(718, 521)           | Memory: 1.4269 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:566.2  Mb Total Allocated Memory:514.2  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 19 * Size:(2379,)              | Memory: 0.3448 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(428, 4)             | Memory: 0.0130 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(793, 482)           | Memory: 2.9161 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(793, 3)             | Memory: 0.0181 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1553, 82)           | Memory: 0.4857 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(718, 6)             | Memory: 0.0328 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(9318,)              | Memory: 0.1421 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(793, 1)             | Memory: 0.0030 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(793, 932)           | Memory: 112.77 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1712,)              | Memory: 0.0130 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(428, 450)           | Memory: 0.7347 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(428,)               | Memory: 0.0032 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(793,)               | Memory: 0.0121 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(4308,)              | Memory: 0.0328 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(428, 932)           | Memory: 1.5216 M | <class 'torch.Tensor'> | torch.float32
- | 20 * Size:(2379, 450)          | Memory: 81.676 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1553, 450)          | Memory: 5.3318 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1553, 6)            | Memory: 0.0710 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(793, 450)           | Memory: 108.90 M | <class 'torch.Tensor'> | torch.float32
- | 39 * Size:(793, 3, 450)        | Memory: 159.26 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(718, 521)           | Memory: 1.4269 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 39 * Size:(893, 4, 450)        | Memory: 239.13 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(893, 482)           | Memory: 3.2838 M | <class 'torch.Tensor'> | torch.float32
+ | 40 * Size:(893, 932)           | Memory: 126.99 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(893,)               | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(478, 450)           | Memory: 0.8205 M | <class 'torch.Tensor'> | torch.float32
+ | 19 * Size:(3572,)              | Memory: 0.5177 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(893, 450)           | Memory: 122.63 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2390,)              | Memory: 0.0182 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(3572, 450)          | Memory: 122.63 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(893, 4)             | Memory: 0.0272 M | <class 'torch.Tensor'> | torch.int64
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(478, 5)             | Memory: 0.0182 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(893, 1)             | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(478,)               | Memory: 0.0036 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(478, 932)           | Memory: 1.6994 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:708.1  Mb Total Allocated Memory:598.2  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:708.1  Mb Total Allocated Memory:598.2  Mb

+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 2 * Size:(9702,)              | Memory: 0.1480 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(4524,)              | Memory: 0.0345 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1617, 6)            | Memory: 0.0740 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(754, 521)           | Memory: 1.4985 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(754, 6)             | Memory: 0.0345 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(1617, 450)          | Memory: 5.5515 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1617, 82)           | Memory: 0.5058 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:716.1  Mb Total Allocated Memory:616.2  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 80 * Size:(893, 450)           | Memory: 122.63 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(2390,)              | Memory: 0.0182 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(893, 1)             | Memory: 0.0034 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9702,)              | Memory: 0.1480 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(893, 482)           | Memory: 3.2838 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(754, 521)           | Memory: 1.4985 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1617, 450)          | Memory: 5.5515 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1617, 82)           | Memory: 0.5058 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(893, 932)           | Memory: 126.99 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(893, 4)             | Memory: 0.0272 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(478, 5)             | Memory: 0.0182 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(478,)               | Memory: 0.0036 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(893, 4, 450)        | Memory: 239.13 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(4524,)              | Memory: 0.0345 M | <class 'torch.Tensor'> | torch.int64
- | 19 * Size:(3572,)              | Memory: 0.5177 M | <class 'torch.Tensor'> | torch.int64
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1617, 6)            | Memory: 0.0740 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(3572, 450)          | Memory: 122.63 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(754, 6)             | Memory: 0.0345 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(893,)               | Memory: 0.0136 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(478, 450)           | Memory: 0.8205 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(478, 932)           | Memory: 1.6994 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(827, 450)           | Memory: 113.57 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(445, 932)           | Memory: 1.5821 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(827,)               | Memory: 0.0126 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(445,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
+ | 20 * Size:(3308, 450)          | Memory: 113.57 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(827, 482)           | Memory: 3.0411 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(827, 4)             | Memory: 0.0252 M | <class 'torch.Tensor'> | torch.int64
+ | 19 * Size:(3308,)              | Memory: 0.4795 M | <class 'torch.Tensor'> | torch.int64
+ | 40 * Size:(827, 932)           | Memory: 117.60 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(445, 450)           | Memory: 0.7638 M | <class 'torch.Tensor'> | torch.float32
+ | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(2225,)              | Memory: 0.0169 M | <class 'torch.Tensor'> | torch.int64
+ | 39 * Size:(827, 4, 450)        | Memory: 221.46 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(445, 5)             | Memory: 0.0169 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(827, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
- | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 69: encode Total Tensor Used Memory:662.5  Mb Total Allocated Memory:561.4  Mb


At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 71: encode Total Tensor Used Memory:662.5  Mb Total Allocated Memory:561.4  Mb

+ | 2 * Size:(1613, 450)          | Memory: 5.5377 M | <class 'torch.Tensor'> | torch.float32
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
+ | 1 * Size:(4488,)              | Memory: 0.0342 M | <class 'torch.Tensor'> | torch.int64
+ | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1613, 6)            | Memory: 0.0738 M | <class 'torch.Tensor'> | torch.int64
+ | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1613, 82)           | Memory: 0.5045 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(748, 521)           | Memory: 1.4866 M | <class 'torch.Tensor'> | torch.float32
+ | 2 * Size:(9678,)              | Memory: 0.1476 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(748, 6)             | Memory: 0.0342 M | <class 'torch.Tensor'> | torch.int64
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(32, 450)            | Memory: 0.0549 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(450,)               | Memory: 0.1373 M | <class 'torch.nn.parameter.Parameter'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 73: encode Total Tensor Used Memory:670.4  Mb Total Allocated Memory:578.8  Mb

+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.Tensor'> | torch.float32
+ | 48 * Size:(450,)               | Memory: 0.0823 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.nn.parameter.Parameter'> | torch.float32
- | 1 * Size:(4488,)              | Memory: 0.0342 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(827, 4)             | Memory: 0.0252 M | <class 'torch.Tensor'> | torch.int64
- | 19 * Size:(3308,)              | Memory: 0.4795 M | <class 'torch.Tensor'> | torch.int64
- | 39 * Size:(827, 4, 450)        | Memory: 221.46 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(1613, 450)          | Memory: 5.5377 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(445,)               | Memory: 0.0033 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(1613, 82)           | Memory: 0.5045 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(32, 450)            | Memory: 0.1098 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(748, 521)           | Memory: 1.4866 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(445, 450)           | Memory: 0.7638 M | <class 'torch.Tensor'> | torch.float32
- | 80 * Size:(827, 450)           | Memory: 113.57 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(9678,)              | Memory: 0.1476 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(445, 5)             | Memory: 0.0169 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(748, 6)             | Memory: 0.0342 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(445, 932)           | Memory: 1.5821 M | <class 'torch.Tensor'> | torch.float32
- | 2 * Size:(827,)               | Memory: 0.0126 M | <class 'torch.Tensor'> | torch.int64
- | 20 * Size:(3308, 450)          | Memory: 113.57 M | <class 'torch.Tensor'> | torch.float32
- | 112 * Size:(450,)               | Memory: 0.1922 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(1613, 6)            | Memory: 0.0738 M | <class 'torch.Tensor'> | torch.int64
- | 2 * Size:(827, 482)           | Memory: 3.0411 M | <class 'torch.Tensor'> | torch.float32
- | 40 * Size:(827, 932)           | Memory: 117.60 M | <class 'torch.Tensor'> | torch.float32
- | 1 * Size:(2225,)              | Memory: 0.0169 M | <class 'torch.Tensor'> | torch.int64
- | 1 * Size:(827, 1)             | Memory: 0.0031 M | <class 'torch.Tensor'> | torch.float32

At /home/users/yy331/molecular/uncertainty_guided_optimization-main-new/JTVAE/fast_jtnn/jtnn_vae.py line 67: encode Total Tensor Used Memory:90.2   Mb Total Allocated Memory:93.9   Mb

+ | 80 * Size:(869, 450)           | Memory: 119.33 M | <class 'torch.Tensor'> | torch.float32
